"name","categoryId","categoryName"
"Luna S187H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S186H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S163H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S162I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S162G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S162F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S162E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S162C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S162A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S161I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S161G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S161F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S161E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S161C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S161A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S160I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S160G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S160F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S160C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S160A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S159I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S159G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S159E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S159C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S159A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S158I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S158G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S158F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S158E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S158C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S158A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S145E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S145C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S141E","cmmlge0bf00049gu5j9w46wkb","Minimal"
